...Wave Drag Slice...
Inlet Area: 0.000000
Exit Area: 0.000000

Theta:   0.00, Start:   0.00, End:  42.37
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00900834
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta:  36.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00898502
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta:  48.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00898502
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta:  60.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00900834
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta:  72.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00900834
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta:  84.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta:  96.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 108.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 120.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 132.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 144.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 156.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 168.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

Theta: 180.00, Start:   0.00, End:  42.37
         0.00000000,          0.00000366
         0.01694915,          1.38807819
         0.03389831,          2.44343310
         0.05084746,          4.68262756
         0.06779661,          5.77014050
         0.08474576,          8.09189701
         0.10169492,         10.62326618
         0.11864407,         12.02998504
         0.13559322,         13.51203099
         0.15254237,         16.48742512
         0.16949153,         18.94335244
         0.18644068,         20.15485425
         0.20338983,         22.64269447
         0.22033898,         25.91620617
         0.23728814,         28.27420080
         0.25423729,         28.89363493
         0.27118644,         28.89363493
         0.28813559,         28.89363493
         0.30508475,         28.89363493
         0.32203390,         28.89363493
         0.33898305,         28.89363493
         0.35593220,         28.89363493
         0.37288136,         28.89363493
         0.38983051,         28.89363493
         0.40677966,         28.89363493
         0.42372881,         28.89363493
         0.44067797,         28.89363493
         0.45762712,         28.89363493
         0.47457627,         30.58641181
         0.49152542,         33.57380444
         0.50847458,         36.79146199
         0.52542373,         39.82410973
         0.54237288,         42.31202050
         0.55932203,         43.51637090
         0.57627119,         42.60958611
         0.59322034,         38.94453947
         0.61016949,         38.08179807
         0.62711864,         33.98145544
         0.64406780,         31.86654308
         0.66101695,         30.72128255
         0.67796610,         29.11930198
         0.69491525,         26.66295799
         0.71186441,         24.32806498
         0.72881356,         20.39896568
         0.74576271,         14.75924073
         0.76271186,         12.36751947
         0.77966102,         12.08936719
         0.79661017,         12.00903165
         0.81355932,         11.50444324
         0.83050847,         10.68952894
         0.84745763,          9.68358828
         0.86440678,          8.81075372
         0.88135593,          8.57743437
         0.89830508,          9.04231713
         0.91525424,          9.36412646
         0.93220339,          8.73699299
         0.94915254,          7.24845536
         0.96610169,          4.49672149
         0.98305085,          1.35026137
         1.00000000,          0.00000182

CDWave:          1.15956016 
Mach:          1.00000000 
Set Name: All 
